"RESULTS
Karate Canada National Championship 2012 - Results",,,
Search:,,,
CATEGORIES,RANK NAME,,CLUB
KATA INDIVIDUAL FEMALE,,,
,1,HOURAHINE JULIA,TEAM ONTARIO
CADETS,,,
"KATA INDIVIDUAL FEMALE
CADETS",2,BAALBAKI SOPHIA,TEAM ONTARIO
"KATA INDIVIDUAL FEMALE
CADETS",3,BOISVENUE CAMÉLIE,TEAM QUÉBEC
"KATA INDIVIDUAL FEMALE
CADETS",3,MICHAUD CAMILLE,TEAM QUÉBEC
"KATA INDIVIDUAL FEMALE
CADETS",5,CHARTRAND GABRIELE,TEAM QUÉBEC
"KATA INDIVIDUAL FEMALE
CADETS",5,BLUNT MARIAH,TEAM ALBERTA
"KATA INDIVIDUAL FEMALE
CADETS",7,CARPENTER LAURA,KARATE NOVA SCOTIA
"KATA INDIVIDUAL FEMALE
JUNIORS",1,FERREIRA ELIZABETH,TEAM ONTARIO
"KATA INDIVIDUAL FEMALE
JUNIORS",2,BAGHERZADEH MARYAM,TEAM ONTARIO
"KATA INDIVIDUAL FEMALE
JUNIORS",3,MAHER MORGAN,TEAM BRITISH COLUMBIA
"KATA INDIVIDUAL FEMALE
JUNIORS",3,FURUMOTO-DESHAIES HANA,TEAM QUÉBEC
"KATA INDIVIDUAL FEMALE
JUNIORS",5,REMONDINI ALEXANDRA,TEAM ALBERTA
"KATA INDIVIDUAL FEMALE
JUNIORS",5,WANG DOLLY,TEAM BRITISH COLUMBIA
"KATA INDIVIDUAL FEMALE
JUNIORS",7,CHAREST KIM,TEAM QUÉBEC
"KATA INDIVIDUAL FEMALE
JUNIORS",7,PITRE SARAH,KARATE PEI
"KATA INDIVIDUAL FEMALE
SENIORS",1,UCHIAGE HIDEMI,TEAM ALBERTA
"KATA INDIVIDUAL FEMALE
SENIORS",2,UCHIAGE SUMI,TEAM BRITISH COLUMBIA
"KATA INDIVIDUAL FEMALE
SENIORS",3,TRAHAN-PERREAULT DAPHNÉ,"CANADA TRADITIONAL GOJU-RYU KARATE
DO ASSOCIATION"
"KATA INDIVIDUAL FEMALE
SENIORS",3,NGO RITA,TEAM BRITISH COLUMBIA
"KATA INDIVIDUAL FEMALE
SENIORS",5,FURUMOTO-DESHAIES HANA,TEAM QUÉBEC
"KATA INDIVIDUAL FEMALE
SENIORS",5,CHRÉTIEN CAROLINE,TEAM QUÉBEC

"KATA INDIVIDUAL FEMALE
SENIORS",,7,ZOLOTAROVA VALENTYNA,TEAM BRITISH COLUMBIA
"KATA INDIVIDUAL FEMALE
SENIORS",,7,WATERWORTH VICTORIA,TEAM ONTARIO
KATA INDIVIDUAL FEMALE U21,,1,CHRÉTIEN CAROLINE,TEAM QUÉBEC
U21,KATA INDIVIDUAL FEMALE,2,NGO RITA,TEAM BRITISH COLUMBIA
U21,KATA INDIVIDUAL FEMALE,3,BARUSIC VICTORIA,TEAM BRITISH COLUMBIA
U21,KATA INDIVIDUAL FEMALE,3,ARKSEY EMMA,TEAM BRITISH COLUMBIA
U21,KATA INDIVIDUAL FEMALE,5,TERRA KATHLEEN,TEAM ONTARIO
U21,KATA INDIVIDUAL FEMALE,5,WAGNER HALEY,TEAM ONTARIO
KATA INDIVIDUAL MALE CADETS,,1,KHALEGHPANAH AMIR,TEAM ONTARIO
"KATA INDIVIDUAL MALE
CADETS",,2,PHAM MICHAEL,TEAM ONTARIO
"KATA INDIVIDUAL MALE
CADETS",,3,KIM TREVOR,TEAM BRITISH COLUMBIA
"KATA INDIVIDUAL MALE
CADETS",,3,KELLERMAN-THOMPSON JUSTIN,TEAM ONTARIO
"KATA INDIVIDUAL MALE
CADETS",,5,GÉLINAS MAXIME,TEAM QUÉBEC
"KATA INDIVIDUAL MALE
CADETS",,5,RIVEST NICHOLAS-PATRICK,TEAM QUÉBEC
KATA INDIVIDUAL MALE JUNIORS,,1,RODRIGUE CARL,TEAM QUÉBEC
"KATA INDIVIDUAL MALE
JUNIORS",,2,NGUYEN THIEN,TEAM BRITISH COLUMBIA
"KATA INDIVIDUAL MALE
JUNIORS",,3,NGUYEN TAN,TEAM BRITISH COLUMBIA
"KATA INDIVIDUAL MALE
JUNIORS",,3,SANTILLIAN PAULO,TEAM BRITISH COLUMBIA
"KATA INDIVIDUAL MALE
JUNIORS",,5,SAWAL JOHN,TEAM BRITISH COLUMBIA
"KATA INDIVIDUAL MALE
JUNIORS",,5,FREYRE-PONS JIMI,TEAM ONTARIO
"KATA INDIVIDUAL MALE
JUNIORS",,7,CYR GABRIEL,KARATE NEW BRUNSWICK
"KATA INDIVIDUAL MALE
JUNIORS",,7,PARADIS FRANCIS,TEAM QUÉBEC
KATA INDIVIDUAL MALE SENIORS,,1,UCHIAGE TOSHI,TEAM BRITISH COLUMBIA
"KATA INDIVIDUAL MALE
SENIORS",,2,DAVID ALEXANDER,TEAM ONTARIO
"KATA INDIVIDUAL MALE
SENIORS",,3,LEE KENNETH,TEAM BRITISH COLUMBIA

"KATA INDIVIDUAL MALE
SENIORS",3,GRECH SEAN,TEAM ONTARIO
"KATA INDIVIDUAL MALE
SENIORS",5,VARGAS ERIC,TEAM QUÉBEC
"KATA INDIVIDUAL MALE
SENIORS",5,TAKEUCHI SEIYA,TEAM BRITISH COLUMBIA
"KATA INDIVIDUAL MALE
SENIORS",7,RODRIGUE CARL,TEAM QUÉBEC
KATA INDIVIDUAL MALE U21,1,TOKIC MARCO,TEAM QUÉBEC
KATA INDIVIDUAL MALE U21,2,NGUYEN THIEN,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL MALE U21,3,TAKEUCHI SEIYA,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL MALE U21,3,DAVID JOSHUA,TEAM ONTARIO
KATA INDIVIDUAL MALE U21,5,BATISTA GARIK,TEAM QUÉBEC
KATA INDIVIDUAL MALE U21,5,SANTILLIAN PAULO,TEAM BRITISH COLUMBIA
"KATA TEAM FEMALE CADETS AND
JUNIORS",1,"ONTARIO FEMALE TEAM KATA(BAGHERZADEH, FERREIRA, KRYSTANTOS)",TEAM ONTARIO
"KATA TEAM FEMALE CADETS
AND JUNIORS",2,"TEAM KATA 14-17(CHARRON, CHARTRAND, SIMARD)",TEAM QUÉBEC
"KATA TEAM MALE CADETS AND
JUNIORS",1,"BC TEAM (CHAN, SANTILLIAN, SAWAL)",TEAM BRITISH COLUMBIA
"KATA TEAM MALE CADETS
AND JUNIORS",2,"ONTARIO MALE JUNIOR TEAM KATA(KELLERMAN-THOMPSON, MILLS, SOMMIER)",TEAM ONTARIO
KATA TEAM MALE SENIORS,1,"ONTARIO MALE SENIOR TEAM KATA(CHUNG, CHUNG, MCADAM-WONG)",TEAM ONTARIO
KATA TEAM MALE SENIORS,2,"TEAM KATA18/20ANS HOMME(BATISTA, TOKIC, VARGAS)",TEAM QUÉBEC
"KUMITE INDIVIDUAL FEMALE
CADETS +54",1,SOUCY CAROLYNE,TEAM QUÉBEC
"KUMITE INDIVIDUAL FEMALE
CADETS +54",2,KITAOKA AYA,TEAM BRITISH COLUMBIA
"KUMITE INDIVIDUAL FEMALE
CADETS +54",3,BOISVENUE CAMÉLIE,TEAM QUÉBEC
"KUMITE INDIVIDUAL FEMALE
CADETS +54",4,KALOTY AVNEET,TEAM BRITISH COLUMBIA
"KUMITE INDIVIDUAL FEMALE
CADETS -47",1,CHAN ISABEL,TEAM BRITISH COLUMBIA
"KUMITE INDIVIDUAL FEMALE
CADETS -47",2,DEVEAU TRYSTEN,KARATE NOVA SCOTIA
"KUMITE INDIVIDUAL FEMALE
CADETS -47",3,CHARTRAND GABRIELE,TEAM QUÉBEC
"KUMITE INDIVIDUAL FEMALE
CADETS -47",4,VUNG VANESSA,TEAM BRITISH COLUMBIA
"KUMITE INDIVIDUAL FEMALE
CADETS -54",1,MICHAUD CAMILLE,TEAM QUÉBEC
"KUMITE INDIVIDUAL FEMALE
CADETS -54",2,BLUNT MARIAH,TEAM ALBERTA

"KUMITE INDIVIDUAL FEMALE
CADETS -54",3,DOYON VALERIE,TEAM BRITISH COLUMBIA
"KUMITE INDIVIDUAL FEMALE
CADETS -54",4,LAPUSHINSKAYA ANNA,TEAM ALBERTA
"KUMITE INDIVIDUAL FEMALE
JUNIORS +59",1,RICHER ANNE-SOPHIE,TEAM QUÉBEC
"KUMITE INDIVIDUAL FEMALE
JUNIORS +59",2,LOFSTROM REID,TEAM BRITISH COLUMBIA
"KUMITE INDIVIDUAL FEMALE
JUNIORS +59",3,SIDHU HARPREET,TEAM BRITISH COLUMBIA
"KUMITE INDIVIDUAL FEMALE
JUNIORS +59",4,CURRIE ALEX,KARATE NOVA SCOTIA
"KUMITE INDIVIDUAL FEMALE
JUNIORS -48",1,BOOTHE CLAIRE,TEAM BRITISH COLUMBIA
