,,Karate Canada National,,
,,Championships 2018 - 2018-03-09,,
,,Official Results,,
Kata Individual Female - Cadet,,,,
Kata Individual Female - Cadet,,,,
1,MORIN LÉA,Karate Quebec,,CANADA
2,Del_Rosario Amelie,Team British Columbia,,CANADA
3,Brown Zoe,OKF Team Ontario,,CANADA
4,ROCHETTE MÉGAN,Karate Quebec,,CANADA
Kata Individual Female - Junior,,,,
Kata Individual Female - Junior,,,,
1,Meandro Marissa,OKF Team Ontario,,CANADA
2,VEILLEUX CHLOÉ,Karate Quebec,,CANADA
3,RHÉAUME ROSE,Karate Quebec,,CANADA
4,Spur Bryana,Team British Columbia,,CANADA
Kata Individual Female - Senior,,,,
Kata Individual Female - Senior,,,,
1,Ngo Rita,Team British Columbia,,CANADA
2,TRAHAN-PERREAULT DAPHNÉ,Karate Quebec,,CANADA
3,Klisara Monika,OKF Team Ontario,,CANADA
4,Meandro Marissa,OKF Team Ontario,,CANADA
Kata Individual Female - U21,,,,
Kata Individual Female - U21,,,,
1,Laos-Loo Claudia,Team British Columbia,,CANADA
2,Heenan Darbyanh,Team British Columbia,,CANADA
3,Lee Shalene,Team British Columbia,,CANADA
4,Nadeau Lillie,OKF Team Ontario,,CANADA
Kata Individual Female - Youth,,,,
Kata Individual Female - Youth,,,,
1,Gamboa Oonah,Team British Columbia,,CANADA
2,Brodie Olivia,Team British Columbia,,CANADA
3,Beauchesne-Blanchet Justine,Karate Quebec,,CANADA
4,FILLION JEANNE,Karate Quebec,,CANADA
Kata Individual Male - Cadet,,,,
Kata Individual Male - Cadet,,,,
1,Chong Matthew,Team British Columbia,,CANADA
2,Meh Vincent,OKF Team Ontario,,CANADA
3,McNeil Yuki,OKF Team Ontario,,CANADA
4,Movold Alexander,Team British Columbia,,CANADA
Kata Individual Male - Junior,,,,
Kata Individual Male - Junior,,,,
1,Nakajima Yushi,Team British Columbia,,CANADA
2,Claveau William,Karate Quebec,,CANADA
3,SAVARD-GOBARD STEEVEN-,Karate Quebec,,CANADA
,JONATHAN,,,
4,FORTIN MATHIEU,Karate Quebec,,CANADA
Kata Individual Male - Senior,,,,
Kata Individual Male - Senior,,,,
1,Lee Kenneth,Team British Columbia,,CANADA
2,Uchiage Toshi,Team British Columbia,,CANADA
3,Sawal John,Team British Columbia,,CANADA
