Year,Athlete,Result,Category,,Team Result,,,,
2004,Andrea Maikawa,3,,Junior,,,,,
2004,Matt Bickel,3,,Junior,,Totals,All,Junior,Senior
2005,Matt Bickel,2,kumite,Junior,,1,75,61,14
2005,Matt Bickel,3,kata,Junior,,2,56,46,10
2005,Cody Martin,3,,Junior,,3,113,86,27
2005,Andrea Maikawa,3,,Junior,,All indiv,244,193,51
2005,Shaun Dhillon,1,U21,Junior,,With known team medals,275,,
2006,Andrea Maikawa,1,,Junior,,,,,
2006,Shaun Dhillon,2,,Junior,,,,,
2006,Cody Martin,2,,Junior,,,,,
2006,Matt Bickel,3,,Junior,,,,,
2006,Jusleen Virk,3,,Junior,3,,,,
2007,Shaun Dhillon,2,Mens +80,Senior,3,,,,
2007,Andrea Maikawa,1,U18 -60,Junior,3,,,,
2007,Cody Martin,2,U18 -60,Junior,2,,,,
2007,Jusleen Virk,1,U18 -53,Junior,3,,,,
2007,Alvin Krishna,3,U18 -65,Junior,,,,,
2007,Alvin Krishna,3,Mens -60,Senior,,,,,
2007,Joseph Tassone,2,U16 -50,Junior,3,,,,
2007,Joey Furugori,,,,2,,,,
2007,Kim Logan,2,U16 -55,Junior,2,,,,
2008,Jusleen Virk,1,,Junior,1,,,,
2008,Kim Logan,,,Junior,1,,,,
2008,Andrea Maikawa,3,,Junior,,,,,
2008,Andrea Maikawa,3,,Junior,,,,,
2008,Cody Martin,1,,Junior,,,,,
2008,Desmond Jalbert,3,,Junior,,,,,
2008,Aishah,2,,Junior,,,,,
2008,Cadence O'Neal,3,,Junior,,,,,
2008,Matthew Ly,3,,Junior,,,,,
2008,Matt Bickel,3,Mens,Senior,,,,,
2008,Matt Bickel,3,U18,Junior,,,,,
2008,Kendra ,3,,Junior,1,,,,
2008,Joseph Tassone,3,,Junior,,,,,
2009,Cadence O'Neal,1,U16 -47,Junior,,,,,
2009,Derek Chan,1,U16 -57,Junior,,,,,
2009,Dylan Robinson,3,U16 -63,Junior,,,,,
2009,Anisha Virk,3,U18 -53,Junior,,,,,
2009,Kim Logan,2,U18 -59,Junior,,,,,
2009,Sarah Jenkins,3,U18 -59,Junior,,,,,
2009,Joseph Tassone,1,U18 -55,Junior,,,,,
2009,Daniel Parker,3,U18 -76,Junior,,,,,
2009,Jusleen Virk,3,U21 -53,Junior,,,,,
2009,Andrea Maikawa,2,Womens -60,Senior,,,,,
2009,Matt Bickel,1,Mens -68,Senior,,,,,
2009,Jusleen Virk,3,Womens -50,Senior,,,,,
2009,Andrea Maikawa,3,Womens -61,Senior,,,,,
2009,Cody Martin,3,Mens -60,Senior,,,,,
2009,Matt Bickel,3,Womens -67,Senior,,,,,
2009,Cindy Jacob,3,Womens -68,Senior,,,,,
2009,Shaun Dhillon,1,Mens +84,Senior,,,,,
2010,Reid Loftstrom,1,U16 +54,Junior,,,,,
2010,Derek Chan,1,U16 -57,Junior,,,,,
2010,Petar Didak,3,U16 -57,Junior,,,,,
2010,Callan Evans,3,U16 -63,Junior,,,,,
2010,Matthew Ly,1,U16 -70,Junior,,,,,
2010,Sarah Jenkins,3,U18 -59,Junior,,,,,
2010,Jusleen Virk,3,U21 -53,Junior,,,,,
2010,Andrea Maikawa,3,U21 -60,Junior,,,,,
2010,Andrea Maikawa,3,Womens -61,Senior,,,,,
2010,Cindy Jacob,3,Womens -68,Senior,,,,,
2011,Isabel Chan,1,U16 -47,Junior,,,,,
